,Fiscal.Year,naics,totaliniaccpt,totaliniden,totalinitial,iaccptperc,,idenperc,
146,2014,71,249,61,310,80.32258065,10.35012885,19.67741935,10.35012885
60,2011,45,963,59,1022,94.22700587,10.33038559,5.772994129,10.33038559
142,2014,55,359,9,368,97.55434783,10.2646282,2.445652174,10.2646282
150,2014,99,905,315,1220,74.18032787,10.19467213,25.81967213,10.19467213
120,2013,62,5880,414,6294,93.42230696,10.14154986,6.577693041,10.14154986
69,2011,61,12999,402,13401,97.00022386,10.09502283,2.999776136,10.09502283
174,2015,92,208,18,226,92.03539823,10.08651644,7.96460177,10.08651644
159,2015,44,532,73,605,87.9338843,9.985409523,12.0661157,9.985409523
201,2017,11,72,10,82,87.80487805,9.982732571,12.19512195,9.982732571
218,2017,56,1087,171,1258,86.40699523,9.975111346,13.59300477,9.975111346
167,2015,55,402,7,409,98.28850856,9.969731265,1.711491443,9.969731265
101,2013,11,125,16,141,88.65248227,9.883388887,11.34751773,9.883388887
143,2014,56,934,136,1070,87.28971963,9.8380138,12.71028037,9.8380138
21,2009,71,541,75,616,87.82467532,9.803742879,12.17532468,9.803742879
51,2011,11,170,22,192,88.54166667,9.77894402,11.45833333,9.77894402
